"Symbol","Description","Price","Optionable Stocks","Beta","Market Capitalization"
"FHI","Federated Hermes Inc","$55.44","Yes","0.73","$4B (Small)"
"FHN","First Horizon Corp","$24.56","Yes","0.62","$12B (Mid)"
"FIBK","First Interstate Bancsystem Inc","$37.66","Yes","0.74","$4B (Small)"
"FIS","Fidelity National Information Services Inc","$46.80","Yes","0.93","$24B (Mid)"
"FISV","Fiserv Inc","$59.36","Yes","0.78","$32B (Mid)"
"FITB","Fifth Third Bancorp","$52.86","Yes","0.96","$48B (Large)"
"FIZZ","National Beverage Corp","$36.35","Yes","0.75","$3B (Small)"
"FLEX","Flex Ltd","$64.24","Yes","1.24","$24B (Mid)"
"FLG","Flagstar Bank NA","$14.18","Yes","1.06","$6B (Small)"
"FLNC","Fluence Energy Inc","$18.46","Yes","3.00","$3B (Small)"
"FLO","Flowers Foods Inc","$10.36","Yes","0.32","$2B (Small)"
"FLR","Fluor Corp","$45.48","Yes","1.38","$7B (Small)"
"FLS","Flowserve Corp","$89.69","Yes","1.27","$11B (Mid)"
"FNB","FNB Corp","$18.07","Yes","0.91","$6B (Small)"
"FND","Floor & Decor Holdings Inc","$70.20","Yes","1.72","$8B (Small)"
"FNF","Fidelity National Financial Inc","$56.74","Yes","0.99","$15B (Mid)"
"FOLD","Amicus Therapeutics Inc","$14.31","Yes","0.43","$4B (Small)"
